knummer_fra;kommunenavn_fra;kommunenr_2020;kommune_2020
3031;Nittedal;3031;Nittedal
0138;Hobøl (-2019);3014;Indre Østfold
3032;Gjerdrum;3032;Gjerdrum
1106;Haugesund;1106;Haugesund
3033;Ullensaker;3033;Ullensaker
0211;Vestby (-2019);3019;Vestby
3034;Nes;3034;Nes
0213;Ski (1931-2019);3020;Nordre Follo
3035;Eidsvoll;3035;Eidsvoll
0214;Ås (-2019);3021;Ås
3036;Nannestad;3036;Nannestad
0215;Frogn (-2019);3022;Frogn
3037;Hurdal;3037;Hurdal
0216;Nesodden (-2019);3023;Nesodden
3038;Hole;3038;Hole
0217;Oppegård (1915-2019);3020;Nordre Follo
3039;Flå;3039;Flå
0219;Bærum (-2019);3024;Bærum
3040;Nesbyen;3040;Nesbyen
1102;Sandnes (-2019);1108;Sandnes
3041;Gol;3041;Gol
0220;Asker (-2019);3025;Asker
3042;Hemsedal;3042;Hemsedal
1129;Forsand (-2019);1108;Sandnes
3043;Ål;3043;Ål
0221;Aurskog-Høland (1966-2019);3026;Aurskog-Høland
3044;Hol;3044;Hol
0226;Sørum (-2019);3030;Lillestrøm
3045;Sigdal;3045;Sigdal
0227;Fet (-2019);3030;Lillestrøm
3046;Krødsherad;3046;Krødsherad
0228;Rælingen (1929-2019);3027;Rælingen
3047;Modum;3047;Modum
1111;Sokndal;1111;Sokndal
3048;Øvre Eiker;3048;Øvre Eiker
0229;Enebakk (-2019);3028;Enebakk
3049;Lier;3049;Lier
0230;Lørenskog (1908-2019);3029;Lørenskog
3050;Flesberg;3050;Flesberg
0231;Skedsmo (-2019);3030;Lillestrøm
3051;Rollag;3051;Rollag
0233;Nittedal (-2019);3031;Nittedal
3052;Nore og Uvdal;3052;Nore og Uvdal
1112;Lund;1112;Lund
3053;Jevnaker;3053;Jevnaker
0234;Gjerdrum (-2019);3032;Gjerdrum
3054;Lunner;3054;Lunner
0235;Ullensaker (-2019);3033;Ullensaker
0236;Nes (Akershus) (-2019);3034;Nes
0237;Eidsvoll (-2019);3035;Eidsvoll
0238;Nannestad (-2019);3036;Nannestad
0239;Hurdal (-2019);3037;Hurdal
1114;Bjerkreim;1114;Bjerkreim
0402;Kongsvinger (-2019);3401;Kongsvinger
0403;Hamar (1992-2019);3403;Hamar
0627;Røyken (-2019);3025;Asker
0412;Ringsaker (-2019);3411;Ringsaker
0628;Hurum (-2019);3025;Asker
0415;Løten (-2019);3412;Løten
0417;Stange (-2019);3413;Stange
0418;Nord-Odal (-2019);3414;Nord-Odal
0419;Sør-Odal (-2019);3415;Sør-Odal
1119;Hå;1119;Hå
0420;Eidskog (-2019);3416;Eidskog
0423;Grue (-2019);3417;Grue
0425;Åsnes (-2019);3418;Åsnes
0426;Våler (Hedmark) (-2019);3419;Våler (Innlandet)
1120;Klepp;1120;Klepp
0427;Elverum (-2019);3420;Elverum
0428;Trysil (-2019);3421;Trysil
1121;Time;1121;Time
0429;Åmot (-2019);3422;Åmot
0430;Stor-Elvdal (-2019);3423;Stor-Elvdal
1122;Gjesdal;1122;Gjesdal
0432;Rendalen (1965-2019);3424;Rendalen
0434;Engerdal (1911-2019);3425;Engerdal
0436;Tolga (-2019);3426;Tolga
1124;Sola;1124;Sola
0437;Tynset (-2019);3427;Tynset
0438;Alvdal (-2019);3428;Alvdal
0439;Folldal (1914-2019);3429;Folldal
1127;Randaberg;1127;Randaberg
0441;Os (Hedmark) (1976-2019);3430;Os
0501;Lillehammer (-2019);3405;Lillehammer
0612;Hole (1977-2019);3038;Hole
0502;Gjøvik (-2019);3407;Gjøvik
1130;Strand;1130;Strand
0511;Dovre (-2019);3431;Dovre
0615;Flå (-2019);3039;Flå
0512;Lesja (-2019);3432;Lesja
1133;Hjelmeland;1133;Hjelmeland
0513;Skjåk (-2019);3433;Skjåk
